reference_code, excluded_code
MÄSMÄN0	,	MANI1000X
NATNAT0	,	NATL1000X
NARBYA0	,	BYGG1000X
"NARHAS01,NARHAS02"	,	HASS1000X
NAGGUD0	,	GUIN1000X
NAKNAK01a1	,	NATU1A10X
NAKNAK01a2	,	NATU1A20X
NAKNAK01b	,	NATU1B00X
NAKNAK02	,	NATU2000X
NAMNAT01	,	NATT1000X
NAMNAT02	,	NATT2000X
NAMNAT03	,	NATT3000X
NAVNAT00S	,	NATS1000X
NAINAV0	,	NATE2000X
NAINAR0	,	NATE1000X
NAINAK0	,	NATV1000X
OMVOMV01	,	OMVR1000X
OMVOMV02	,	OMVR2000X
PEDAKI00S	,	AKTV1000X
PEGPEA0	,	PEDA1000X
PEAVÅD0	,	"HANL1000X,HANL2000X"
"SEOPEB0,SEOPER0"	,	PERI1000X
"SEOPER01,SEOPER02" ,	PERI2000X
PESPER00S	,	PERT1000X
PESPER00S	,	PERO1000X
PESPER00S	,	PERN1000X
"PESPER01a,PESPER01b"	,	"PERS1000X,PERS2000X,PERS3000X"
PESPER1	,	"PERP100VX,PERP200VX"
PESTAX0	,	PERR1000X
PLÅPLÅ0	,	BYGN1000X
PLTBYG03	,	"PLAS1000X,PLAL1000X"
PLTBYG01	,	BYGN2000X
PLTBYG02	,	BYGN3000X
PLTBYG04	,	BYGN4000X
PLTKUU0	,	KULT1000X
PLTPLT0	,	PLAT1000X
PRCPRO31	,	HALR100TX
PRCPRO32	,	HALR200TX
PREKEM31	,	PROE100TX
PREKEM32	,	PROE200TX
PRIPRO31	,	PROO100TX
PRIPRO32	,	PROO200TX
PRUIND0	,	INDT1000X
PRUINE00S	,	INDR1000X
PRUINU0	,	INDT2000X
PRUPRD01S	,	PROI1000X
PRUPRD02S	,	PROI2000X
PRUPRD03S	,	PROI3000X
PRUPRD04	,	PROI4000X
PRUVEY0	,	VERK2000X
PRNPRO31	,	PROV100TX
PRNPRO32	,	PROV200TX
PRNIND3	,	INDG100TX
PRKPRK01	,	PROU1000X
PRKPRK02	,	PROU2000X
PRRPRR01	,	PROG1000X
PRRPRR02	,	PROG2000X
PRRPRR33	,	PROA100TX
PSYPSK01	,	PSYK1000X
PSYPSY02	,	PSYK2000X
PSKPSY01	,	PSYL1000X
PSKPSY02a	,	PSYL2000X
RECLOG0	,	LOGI1000X
RELREL01	,	RELI1000X
RELREL02	,	RELI2000X
